steam_id,review_id,review_text,voted_up,playtime_recorded,playtime_last_2W,timestamp_created,early_access,votes_helpful,votes_funny,comments_count_in_review
76561198098004036,186538371,shits asss,False,776,329,1737991109,False,0,0,0
76561199255948101,186537945,меня выебали,True,6073,661,1737990736,False,1,0,0
76561199218503014,186537320,"Shit, just shit, boring, hard to control and unfun, maybe just not for me but I feel I wouldn't enjoy it even if I was really into the genre",False,19,19,1737990120,False,0,0,0
76561199434595605,186536729,it's good,True,35852,1670,1737989573,False,0,0,0
76561199663625554,186536706,good game,True,186,186,1737989549,False,0,0,0
76561199633739998,186535149,"Игра мусор. Сралв плевать на свои игры и на свое комьюнити
",False,9759,4065,1737988001,False,0,0,0
76561199682176132,186535004,"Отличная игра, мать у меня без зубов осталась",True,19961,4784,1737987859,False,0,0,0
76561198303818344,186532979,I'm retired! thanks!,False,119361,0,1737985824,False,0,0,0
76561199142829154,186531971,dota will ruin your life.,False,416395,1923,1737984648,False,0,0,0
76561198208295281,186531901,shit game. cant use WASD to move.,True,161953,0,1737984577,False,0,0,0
76561198964195584,186531777,Incredible game,True,11,0,1737984433,False,0,0,0
76561198171236631,186531667,"you get to experience the wrath and anger of those that are yet to be drafted to the frontlines, 10/10 experience",True,3838,781,1737984285,False,0,0,0
76561199403530408,186529375,"awful game with awful devs, objectively low quality",False,323139,8319,1737981764,False,0,0,0
76561199176043682,186528629,nice,True,29285,1882,1737980916,False,0,0,0
76561199748041280,186527086,"Dota 2 is a masterclass in game design, balance, and community engagement. With hundreds of heroes, each with unique abilities and playstyles, the game offers endless possibilities and challenges.

The gameplay is incredibly engaging, with a perfect blend of strategy, teamwork, and quick reflexes. The graphics and sound design are also top-notch, immersing you in the world of Dota",True,8504,1858,1737978893,False,0,0,0
76561198272177027,186526754,"This game is good, however League Of Legends is better.",True,52188,1655,1737978418,False,1,0,1
76561198090643804,186526750,ggwp fun game and nice people,True,80325,1949,1737978413,False,0,0,0
76561199182587291,186526700,"Turbo is one of most chill modes and i like it js play it for a relaxation w my friendos, peak game 10 bananas out of 10",True,8608,2605,1737978334,False,0,0,0
76561199733992166,186524558,япрост шокирована,False,68332,1834,1737975197,False,0,0,0
76561199332922753,186523487,"This game is awful, its toxic",True,186727,12711,1737973552,False,0,0,0
76561199662411762,186522670,great game,True,42,42,1737972365,False,0,0,0
76561199222038234,186520342,asd,True,121807,1565,1737968673,False,0,0,0
76561198979004844,186519411,"100 часов, еще не полуфабрикат",True,6426,307,1737967194,False,0,0,0
76561198986860126,186519042,z,True,367,367,1737966548,False,0,0,0
76561199760249906,186518781,Good Game,True,8513,2884,1737966107,False,0,0,0
76561198241528068,186518577," dont start this game ,,, !",False,113332,2752,1737965723,False,0,0,0
76561198873148073,186517343,good toxic game,True,24156,1807,1737963832,False,0,0,0
76561199437660292,186516167,"ахуеная игра
",True,638,553,1737961704,False,0,0,0
